Step,Reward,Action_Index,Node_ID,Link_Cost,Decision_Type
1,37.05,40,42,0.50,RL
2,60.00,11,13,0.20,RL
3,60.00,6,8,0.20,RL
4,60.00,11,13,0.20,RL
5,60.00,28,30,0.20,RL
6,51.78,29,31,0.20,RL
7,60.00,44,46,0.20,RL
8,60.00,47,49,0.20,RL
9,59.97,42,44,0.20,RL
10,70.00,39,41,0.00,RL
11,59.92,47,49,0.20,RL
12,60.00,39,41,0.20,RL
13,60.00,14,16,0.20,RL
14,60.00,20,22,0.20,RL
15,60.00,16,18,0.20,RL
16,60.00,44,46,0.20,RL
17,39.99,36,38,0.50,RL
18,0.00,28,30,0.20,RL
19,70.00,32,34,0.00,RL
20,70.00,32,34,0.00,RL
21,70.00,35,37,0.00,RL
22,70.00,35,37,0.00,RL
23,60.00,6,8,0.20,RL
24,51.54,7,9,0.20,RL
25,59.79,6,8,0.20,RL
26,60.00,2,4,0.20,RL
27,53.33,10,12,0.20,RL
28,-5.00,0,2,1.00,RL
29,60.00,16,18,0.20,RL
30,63.19,16,18,0.00,RL
31,60.00,24,26,0.20,RL
32,60.00,22,24,0.20,RL
33,-5.00,0,2,1.00,RL
34,40.00,1,3,0.50,RL
35,60.00,22,24,0.20,RL
36,60.00,15,17,0.20,RL
37,60.00,23,25,0.20,RL
38,60.00,38,40,0.20,RL
39,59.03,48,50,0.20,RL
40,0.00,44,46,0.20,RL
41,60.00,46,48,0.20,RL
42,70.00,14,16,0.00,RL
43,70.00,14,16,0.00,RL
44,67.77,34,36,0.00,RL
45,60.00,33,35,0.20,RL
46,60.00,31,33,0.20,RL
47,60.00,35,37,0.20,RL
48,60.00,31,33,0.20,RL
49,0.00,20,22,0.20,RL
50,45.89,22,24,0.20,RL
51,60.00,19,21,0.20,RL
52,58.75,18,20,0.20,RL
53,10.00,6,8,0.00,RL
54,60.00,12,14,0.20,RL
55,60.00,9,11,0.20,RL
56,35.37,46,48,0.50,RL
57,60.00,43,45,0.20,RL
58,60.00,35,37,0.20,RL
59,66.67,35,37,0.00,RL
60,24.25,1,3,0.50,RL
61,60.00,37,39,0.20,RL
62,64.59,37,39,0.00,RL
63,60.00,21,23,0.20,RL
64,53.22,17,19,0.20,RL
65,0.00,35,37,0.20,RL
66,0.00,32,34,0.20,RL
67,27.31,9,11,0.50,RL
68,60.00,8,10,0.20,RL
69,60.00,8,10,0.20,RL
70,60.00,3,5,0.20,RL
71,60.00,11,13,0.20,RL
72,60.00,21,23,0.20,RL
73,54.44,19,21,0.20,RL
74,59.93,38,40,0.20,RL
75,60.00,39,41,0.20,RL
76,60.00,31,33,0.20,RL
77,-5.00,0,2,1.00,RL
78,-20.00,39,41,0.50,RL
79,60.00,43,45,0.20,RL
80,70.00,43,45,0.00,RL
81,60.00,14,16,0.20,RL
82,-5.00,0,2,1.00,RL
83,25.00,0,2,1.00,RL
84,-20.00,3,5,0.50,RL
85,-5.00,0,2,1.00,RL
86,25.00,0,2,1.00,RL
87,60.00,8,10,0.20,RL
88,55.07,11,13,0.20,RL
89,0.00,2,4,0.20,RL
90,59.67,8,10,0.20,RL
91,60.00,4,6,0.20,RL
92,51.13,8,10,0.20,RL
93,60.00,5,7,0.20,RL
94,46.30,4,6,0.20,RL
95,60.00,30,32,0.20,RL
96,0.00,31,33,0.20,RL
97,0.00,33,35,0.20,RL
98,60.00,5,7,0.20,RL
99,0.00,11,13,0.20,RL
100,59.51,5,7,0.20,RL
101,0.00,12,14,0.20,RL
102,0.00,8,10,0.20,RL
103,-5.00,0,2,1.00,RL
104,25.00,0,2,1.00,RL
105,60.00,30,32,0.20,RL
106,-5.00,0,2,1.00,RL
